no.,stage,date,weekday,match_no,team,player,point,rank,pt,host,commentary,judge,reporter,round_no,win_no,deal_in_no,riichi_no,call_no,drawn_no,renchan_no,4call_no
1,2018R,2018/10/01,月,1,U-NEXT Pirates,小林剛,38400,2,18.4,松嶋桃,多井隆晴,張敏賢,松本圭世,16,5,4,5,7,1,5,0
1,2018R,2018/10/01,月,1,セガサミーフェニックス,魚谷侑未,2000,4,-58,松嶋桃,多井隆晴,張敏賢,松本圭世,16,3,3,3,6,1,2,0
1,2018R,2018/10/01,月,1,赤坂ドリブンズ,園田賢,42900,1,62.9,松嶋桃,多井隆晴,張敏賢,松本圭世,16,5,0,2,9,1,1,0
1,2018R,2018/10/01,月,1,TEAM RAIDEN / 雷電,萩原聖人,16700,3,-23.3,松嶋桃,多井隆晴,張敏賢,松本圭世,16,2,1,2,0,1,0,0
2,2018R,2018/10/01,月,2,TEAM RAIDEN / 雷電,萩原聖人,11700,4,-48.3,松嶋桃,多井隆晴,張敏賢,松本圭世,10,1,2,2,0,2,0,0
2,2018R,2018/10/01,月,2,赤坂ドリブンズ,鈴木たろう,26300,2,6.3,松嶋桃,多井隆晴,張敏賢,松本圭世,10,2,2,1,3,2,1,0
2,2018R,2018/10/01,月,2,セガサミーフェニックス,茅森早香,18500,3,-21.5,松嶋桃,多井隆晴,張敏賢,松本圭世,10,1,1,1,3,2,0,0
2,2018R,2018/10/01,月,2,U-NEXT Pirates,石橋伸洋,43500,1,63.5,松嶋桃,多井隆晴,張敏賢,松本圭世,10,4,0,2,4,2,1,0
3,2018R,2018/10/02,火,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,27600,2,7.6,小林未沙,小林剛,張敏賢,松本圭世,9,1,2,1,2,2,0,0
3,2018R,2018/10/02,火,1,EX風林火山,滝沢和典,15000,4,-45,小林未沙,小林剛,張敏賢,松本圭世,9,1,0,1,3,2,0,0
3,2018R,2018/10/02,火,1,赤坂ドリブンズ,村上淳,30800,1,50.8,小林未沙,小林剛,張敏賢,松本圭世,9,3,2,1,1,2,1,0
3,2018R,2018/10/02,火,1,渋谷ABEMAS,松本吉弘,26600,3,-13.4,小林未沙,小林剛,張敏賢,松本圭世,9,2,0,3,1,2,0,0
4,2018R,2018/10/02,火,2,EX風林火山,勝又健志,24100,2,4.1,小林未沙,小林剛,張敏賢,松本圭世,11,3,1,3,2,1,1,0
4,2018R,2018/10/02,火,2,渋谷ABEMAS,多井隆晴,55400,1,75.4,小林未沙,小林剛,張敏賢,松本圭世,11,5,1,3,3,1,2,0
4,2018R,2018/10/02,火,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,18400,3,-21.6,小林未沙,小林剛,張敏賢,松本圭世,11,2,1,3,4,1,0,0
4,2018R,2018/10/02,火,2,赤坂ドリブンズ,園田賢,2100,4,-57.9,小林未沙,小林剛,張敏賢,松本圭世,11,0,2,2,6,1,0,0
5,2018R,2018/10/04,木,1,U-NEXT Pirates,朝倉康心,35200,2,15.2,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,3,1,4,1,3,2,0
5,2018R,2018/10/04,木,1,KONAMI 麻雀格闘倶楽部,前原雄大,9100,4,-50.9,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,3,2,7,1,3,1,0
5,2018R,2018/10/04,木,1,EX風林火山,二階堂亜樹,11000,3,-29,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,1,1,5,1,3,1,0
5,2018R,2018/10/04,木,1,渋谷ABEMAS,白鳥翔,44700,1,64.7,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,4,0,1,6,3,2,0
6,2018R,2018/10/04,木,2,U-NEXT Pirates,小林剛,22600,3,-17.4,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,2,0,4,2,3,0,0
6,2018R,2018/10/04,木,2,渋谷ABEMAS,松本吉弘,60900,1,80.9,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,6,1,6,3,3,4,0
6,2018R,2018/10/04,木,2,EX風林火山,二階堂亜樹,30000,2,10,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,2,1,4,2,3,2,0
6,2018R,2018/10/04,木,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,-13500,4,-73.5,小林未沙,瀬戸熊直樹,張敏賢,松本圭世,14,1,4,1,5,3,0,0
7,2018R,2018/10/05,金,1,赤坂ドリブンズ,村上淳,45000,1,65,松嶋桃,白鳥翔,張敏賢,松本圭世,11,3,0,1,3,2,1,0
7,2018R,2018/10/05,金,1,U-NEXT Pirates,石橋伸洋,-5700,4,-65.7,松嶋桃,白鳥翔,張敏賢,松本圭世,11,0,4,3,5,2,0,0
7,2018R,2018/10/05,金,1,KONAMI 麻雀格闘倶楽部,高宮まり,34700,2,14.7,松嶋桃,白鳥翔,張敏賢,松本圭世,11,4,1,2,0,2,2,0
7,2018R,2018/10/05,金,1,TEAM RAIDEN / 雷電,黒沢咲,26000,3,-14,松嶋桃,白鳥翔,張敏賢,松本圭世,11,2,2,1,2,2,0,0
8,2018R,2018/10/05,金,2,KONAMI 麻雀格闘倶楽部,高宮まり,14500,3,-25.5,松嶋桃,白鳥翔,張敏賢,松本圭世,10,3,1,1,2,0,0,0
8,2018R,2018/10/05,金,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,-4100,4,-64.1,松嶋桃,白鳥翔,張敏賢,松本圭世,10,0,2,1,0,0,0,0
8,2018R,2018/10/05,金,2,赤坂ドリブンズ,鈴木たろう,59700,1,79.7,松嶋桃,白鳥翔,張敏賢,松本圭世,10,5,0,6,0,0,1,0
8,2018R,2018/10/05,金,2,U-NEXT Pirates,朝倉康心,29900,2,9.9,松嶋桃,白鳥翔,張敏賢,松本圭世,10,2,0,1,3,0,1,0
9,2018R,2018/10/08,月,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,40900,1,60.9,小林未沙,滝沢和典,張敏賢,松本圭世,12,4,1,1,3,3,1,0
9,2018R,2018/10/08,月,1,渋谷ABEMAS,白鳥翔,37600,2,17.6,小林未沙,滝沢和典,張敏賢,松本圭世,12,2,0,1,7,3,2,0
9,2018R,2018/10/08,月,1,KONAMI 麻雀格闘倶楽部,佐々木寿人,7400,4,-52.6,小林未沙,滝沢和典,張敏賢,松本圭世,12,2,4,3,0,3,0,0
9,2018R,2018/10/08,月,1,U-NEXT Pirates,小林剛,14100,3,-25.9,小林未沙,滝沢和典,張敏賢,松本圭世,12,1,1,1,9,3,1,0
10,2018R,2018/10/08,月,2,渋谷ABEMAS,松本吉弘,16200,3,-23.8,小林未沙,滝沢和典,張敏賢,松本圭世,8,2,1,3,1,1,0,0
10,2018R,2018/10/08,月,2,KONAMI 麻雀格闘倶楽部,前原雄大,36900,1,56.9,小林未沙,滝沢和典,張敏賢,松本圭世,8,2,2,3,2,1,0,0
10,2018R,2018/10/08,月,2,U-NEXT Pirates,小林剛,34700,2,14.7,小林未沙,滝沢和典,張敏賢,松本圭世,8,3,1,2,6,1,0,0
10,2018R,2018/10/08,月,2,TEAM RAIDEN / 雷電,萩原聖人,12200,4,-47.8,小林未沙,滝沢和典,張敏賢,松本圭世,8,0,2,1,0,1,0,0
11,2018R,2018/10/09,火,1,U-NEXT Pirates,石橋伸洋,18400,3,-21.6,小林未沙,村上淳,張敏賢,松本圭世,13,3,2,3,6,2,0,0
